采样点编号,X(m),Y(m),垄索引,浊度(NTU),风险等级,Ct 值,PCR 浓度(copies/m³),判定结果,质量标记,靶基因,检测时间
R1-P1,0.00,0.00,0,42.5,低风险,15.5,5.6e+06,强阳性,valid,ITS1-F/ITS4-R,08:15:01
R1-P2,25.00,0.00,0,128.7,低风险,37.5,1.5e+01,阴性,valid,ITS1-F/ITS4-R,08:15:38
R1-P3,50.00,0.00,0,310.5,中风险,18.2,1.2e+06,阳性,valid,ITS1-F/ITS4-R,08:16:15
R1-P4,75.00,0.00,0,555.8,高风险,38.0,1.2e+01,阴性,valid,ITS1-F/ITS4-R,08:16:52
R1-P5,12.50,5.00,1,85.3,低风险,36.8,2.2e+01,阴性,valid,ITS1-F/ITS4-R,08:18:06
R1-P6,37.50,5.00,1,245.2,中风险,35.5,5.5e+01,阴性,valid,ITS1-F/ITS4-R,08:18:43
R1-P7,62.50,5.00,1,480.6,高风险,20.5,3.1e+05,阳性,valid,ITS1-F/ITS4-R,08:19:20
R1-P8,87.50,5.00,1,195.4,中风险,37.0,2.0e+01,阴性,valid,ITS1-F/ITS4-R,08:19:57
R2-P1,6.25,2.50,0,38.9,低风险,36.2,3.0e+01,阴性,valid,ITS1-F/ITS4-R,08:22:34
R2-P2,31.25,2.50,0,165.3,中风险,38.5,8.0e+00,阴性,valid,ITS1-F/ITS4-R,08:23:11
R2-P3,56.25,2.50,0,365.8,中风险,19.8,4.8e+05,阳性,valid,ITS1-F/ITS4-R,08:23:48
R2-P4,81.25,2.50,0,590.2,高风险,37.8,1.3e+01,阴性,valid,ITS1-F/ITS4-R,08:24:25
R2-P5,18.75,7.50,1,72.6,低风险,37.2,1.8e+01,阴性,valid,ITS1-F/ITS4-R,08:25:02
R2-P6,43.75,7.50,1,280.5,中风险,35.8,4.5e+01,阴性,valid,ITS1-F/ITS4-R,08:25:39
R2-P7,68.75,7.50,1,510.3,高风险,21.0,2.2e+05,阳性,valid,ITS1-F/ITS4-R,08:26:16
R2-P8,93.75,7.50,1,155.8,中风险,36.5,2.5e+01,阴性,valid,ITS1-F/ITS4-R,08:26:53
